appln_id;appln_auth;appln_nr;appln_kind;appln_filing_date;appln_filing_year;appln_nr_epodoc;appln_nr_original;ipr_type;receiving_office;internat_appln_id;int_phase;reg_phase;nat_phase;earliest_filing_date;earliest_filing_year;earliest_filing_id;earliest_publn_date;earliest_publn_year;earliest_pat_publn_id;granted;docdb_family_id;inpadoc_family_id;docdb_family_size;nb_citing_docdb_fam;nb_applicants;nb_inventors
483109605;"US";"201715595655";"A ";2017-05-15;2017;"US201715595655";"15595655";"PI";"  ";0;"N";"N";"Y";2013-07-08;2013;904606517;2017-08-31;2017;483109606;"N";52132763;9716368;46;51;1;4
486568928;"KR";"20170025611";"A ";2017-02-27;2017;"KR20170025611";"1020170025611";"PI";"  ";0;"N";"N";"Y";2016-05-04;2016;486008498;2017-11-15;2017;486568929;"N";60119327;10748982;4;0;1;2
494031137;"US";"201715661557";"A ";2017-07-27;2017;"US201715661557";"15661557";"PI";"  ";0;"N";"N";"Y";2016-11-09;2016;483727181;2018-05-10;2018;494031138;"N";62064495;10912012;2;0;1;5
487006149;"EP";"17205553";"A ";2017-12-05;2017;"EP20170205553";"17205553";"PI";"  ";0;"N";"Y";"N";2016-12-23;2016;496340387;2018-06-27;2018;494749656;"N";60582490;10785243;2;0;1;9
494905074;"TW";"106118227";"A ";2017-06-02;2017;"TW20170118227";"106118227";"PI";"  ";0;"N";"N";"Y";2016-06-03;2016;904880899;2018-03-01;2018;494905075;"N";59054305;10613637;2;0;1;5
483404050;"US";"201715602442";"A ";2017-05-23;2017;"US201715602442";"15602442";"PI";"  ";0;"N";"N";"Y";2015-01-22;2015;458693728;2017-09-07;2017;483404051;"N";56433473;12633994;2;2;1;7
487328052;"US";"201715409128";"A ";2017-01-18;2017;"US201715409128";"15409128";"PI";"  ";0;"N";"N";"Y";2016-06-09;2016;488659138;2017-12-14;2017;487328053;"N";57956152;10474694;4;0;2;4
487798626;"EP";"17211131";"A ";2017-12-29;2017;"EP20170211131";"17211131";"PI";"  ";0;"N";"Y";"N";2016-12-29;2016;497053608;2018-07-04;2018;495068325;"N";60942876;10805616;3;0;1;1
488257132;"US";"201715458015";"A ";2017-03-13;2017;"US201715458015";"15458015";"PI";"  ";0;"N";"N";"Y";2015-07-15;2015;450628014;2018-01-04;2018;488257133;"N";60806066;10095427;1;1;1;4
488264955;"US";"201715704366";"A ";2017-09-14;2017;"US201715704366";"15704366";"PI";"  ";353480876;"Y";"N";"Y";2011-05-05;2011;378267405;2018-01-04;2018;488264956;"N";46168425;8792797;8;10;1;3
